program_change channel=0 program=0 time=0
note_on channel=0 note=81 velocity=51 time=0
note_on channel=0 note=81 velocity=0 time=0.00168918958333
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=68 time=0
note_on channel=0 note=64 velocity=62 time=0.20270275
note_on channel=0 note=69 velocity=61 time=0.20270275
note_on channel=0 note=69 velocity=0 time=0.0016339875
note_on channel=0 note=76 velocity=65 time=0
note_on channel=0 note=76 velocity=0 time=0.00160256458333
note_on channel=0 note=81 velocity=68 time=0
note_on channel=0 note=81 velocity=0 time=0.173076975
note_on channel=0 note=69 velocity=55 time=0.0016339875
note_on channel=0 note=69 velocity=0 time=0.1960785
note_on channel=0 note=76 velocity=52 time=0
note_on channel=0 note=76 velocity=0 time=0.00167785208333
note_on channel=0 note=81 velocity=52 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=81 velocity=0 time=0.0016339875
note_on channel=0 note=64 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.009803925
control_change channel=0 control=64 value=127 time=0.1192810875
note_on channel=0 note=62 velocity=57 time=0.0669934875
note_on channel=0 note=66 velocity=56 time=0.1960785
note_on channel=0 note=66 velocity=0 time=0.1960785
note_on channel=0 note=69 velocity=60 time=0
note_on channel=0 note=69 velocity=0 time=0.00159235625
note_on channel=0 note=74 velocity=63 time=0
note_on channel=0 note=74 velocity=0 time=0.171974475
note_on channel=0 note=66 velocity=50 time=0.00162337708333
note_on channel=0 note=66 velocity=0 time=0.19480525
note_on channel=0 note=69 velocity=47 time=0
note_on channel=0 note=69 velocity=0 time=0.19480525
note_on channel=0 note=74 velocity=47 time=0
note_on channel=0 note=74 velocity=0 time=0.00167785208333
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=60 velocity=62 time=0
note_on channel=0 note=62 velocity=57 time=0.20134225
note_on channel=0 note=66 velocity=56 time=0.20134225
note_on channel=0 note=66 velocity=0 time=0.20134225
note_on channel=0 note=69 velocity=60 time=0
note_on channel=0 note=69 velocity=0 time=0.00162337708333
note_on channel=0 note=74 velocity=62 time=0
note_on channel=0 note=74 velocity=0 time=0.175324725
note_on channel=0 note=66 velocity=50 time=0.019480525
note_on channel=0 note=66 velocity=0 time=0.19480525
note_on channel=0 note=69 velocity=48 time=0
note_on channel=0 note=69 velocity=0 time=0.0017241375
note_on channel=0 note=74 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=64 value=0 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=74 velocity=0 time=0.00166666666667
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=59 velocity=65 time=0
control_change channel=0 control=64 value=127 time=0.186666666667
note_on channel=0 note=62 velocity=60 time=0.0133333333333
note_on channel=0 note=67 velocity=58 time=0.2
note_on channel=0 note=67 velocity=0 time=0.00162337708333
note_on channel=0 note=74 velocity=63 time=0
note_on channel=0 note=74 velocity=0 time=0.00160256458333
note_on channel=0 note=79 velocity=66 time=0
note_on channel=0 note=79 velocity=0 time=0.173076975
note_on channel=0 note=67 velocity=51 time=0.00162337708333
note_on channel=0 note=67 velocity=0 time=0.19480525
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.00168918958333
note_on channel=0 note=79 velocity=50 time=0
note_on channel=0 note=79 velocity=0 time=0.00166666666667
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=59 velocity=65 time=0
note_on channel=0 note=62 velocity=60 time=0.2
note_on channel=0 note=67 velocity=58 time=0.2
note_on channel=0 note=67 velocity=0 time=0.00161290416667
note_on channel=0 note=74 velocity=62 time=0
note_on channel=0 note=74 velocity=0 time=0.1935485
note_on channel=0 note=79 velocity=65 time=0
note_on channel=0 note=79 velocity=0 time=0.17419365
note_on channel=0 note=67 velocity=52 time=0.01935485
note_on channel=0 note=67 velocity=0 time=0.1935485
note_on channel=0 note=74 velocity=50 time=0
note_on channel=0 note=74 velocity=0 time=0.0017241375
note_on channel=0 note=79 velocity=50 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=79 velocity=0 time=0.00167785208333
note_on channel=0 note=62 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=59 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.020134225
control_change channel=0 control=64 value=127 time=0.0973154208333
note_on channel=0 note=60 velocity=57 time=0.0838926041667
note_on channel=0 note=64 velocity=56 time=0.20134225
note_on channel=0 note=64 velocity=0 time=0.20134225
note_on channel=0 note=67 velocity=60 time=0
note_on channel=0 note=67 velocity=0 time=0.00161290416667
note_on channel=0 note=72 velocity=63 time=0
note_on channel=0 note=72 velocity=0 time=0.17419365
note_on channel=0 note=64 velocity=50 time=0.01935485
note_on channel=0 note=64 velocity=0 time=0.1935485
note_on channel=0 note=67 velocity=47 time=0
note_on channel=0 note=67 velocity=0 time=0.00168918958333
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=72 velocity=0 time=0.0016339875
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=59 velocity=62 time=0
note_on channel=0 note=60 velocity=57 time=0.1960785
note_on channel=0 note=64 velocity=56 time=0.1960785
note_on channel=0 note=64 velocity=0 time=0.1960785
note_on channel=0 note=67 velocity=60 time=0
note_on channel=0 note=67 velocity=0 time=0.00161290416667
note_on channel=0 note=72 velocity=62 time=0
note_on channel=0 note=72 velocity=0 time=0.17419365
note_on channel=0 note=64 velocity=50 time=0.01935485
note_on channel=0 note=64 velocity=0 time=0.1935485
note_on channel=0 note=67 velocity=48 time=0
note_on channel=0 note=67 velocity=0 time=0.0017241375
note_on channel=0 note=72 velocity=48 time=0
control_change channel=0 control=91 value=127 time=0
control_change channel=0 control=91 value=127 time=0
note_on channel=0 note=72 velocity=0 time=0.0016447375
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=59 velocity=0 time=0
note_on channel=0 note=57 velocity=61 time=0
control_change channel=0 control=64 value=0 time=0.0148026375
control_change channel=0 control=64 value=127 time=0.1694079625
note_on channel=0 note=60 velocity=57 time=0.0131579
note_on channel=0 note=64 velocity=56 time=0.1973685
note_on channel=0 note=64 velocity=0 time=0.1973685
note_on channel=0 note=67 velocity=60 time=0
note_on channel=0 note=67 velocity=0 time=0.1973685
note_on channel=0 note=72 velocity=63 time=0
note_on channel=0 note=72 velocity=0 time=0.17763165
note_on channel=0 note=64 velocity=50 time=0.00168918958333
note_on channel=0 note=64 velocity=0 time=0.20270275
note_on channel=0 note=67 velocity=47 time=0
note_on channel=0 note=67 velocity=0 time=0.20270275
note_on channel=0 note=72 velocity=47 time=0
note_on channel=0 note=72 velocity=0 time=0.00165562916667
note_on channel=0 note=60 velocity=0 time=0
note_on channel=0 note=57 velocity=0 time=0
note_on channel=0 note=57 velocity=62 time=0
note_on channel=0 note=60 velocity=57 time=0.1986755
note_on channel=0 note=64 velocity=56 time=0.1986755
note_on channel=0 note=64 velocity=0 time=0.1986755
note_on channel=0 note=67 velocity=60 time=0
note_on channel=0 note=67 velocity=0 time=0.1986755
note_on channel=0 note=72 velocity=62 time=0
note_on channel=0 note=72 velocity=0 time=0.17880795
note_on channel=0 note=64 velocity=50 time=0.00170068125
note_on channel=0 note=64 velocity=0 time=0.20408175
note_on channel=0 note=67 velocity=48 time=0
note_on channel=0 note=67 velocity=0 time=0.00182481666667
